        Time  Uncensored
  1     1.60     0
  2     0.60     0
  3     3.03     1
  4     2.90     0
  5     3.60     1
  6     2.76     1
  7     0.36     0
  8     2.93     1
  9     0.61     1
 10     2.50     0
 11     0.07     0
 12     7.71     1
 13     4.92     0
 14     0.08     0
 15     0.01     0
 16     2.04     1
 17     2.16     1
 18     2.97     0
 19     2.81     1
 20     4.90     0
 21     5.19     1
 22     1.25     1
 23     2.67     1
 24     3.89     0
 25     5.14     1
 26     4.89     1
 27     4.67     0
 28     5.93     0
 29     0.75     0
 30     3.58     0
 31     4.93     1
 32     3.96     1
 33     1.69     0
 34     6.21     0
 35     1.07     1
 36     6.47     0
 37     4.93     1
 38     1.38     1
 39     1.74     1
 40     3.05     1
 41     3.60     1
 42     2.48     1
 43     2.93     1
 44     5.55     1
 45     3.85     0
 46     7.30     1
 47     2.23     0
 48     4.33     1
 49     4.48     1
 50     0.60     0
 51     5.24     1
 52     2.65     1
 53     5.06     0
 54     3.30     0
 55     2.62     1
 56     5.13     1
 57     4.81     1
 58     1.18     1
 59     4.09     1
 60     4.40     0
 61     3.75     0
 62     3.47     0
 63     1.70     0
 64     2.01     1
 65     2.14     0
 66     4.02     1
 67     2.51     1
 68     4.43     1
 69     0.69     0
 70     2.16     0
 71     3.84     1
 72     3.12     1
 73     4.68     1
 74     8.23     0
 75     5.48     1
 76     3.65     1
 77     4.26     0
 78     5.31     1
 79     1.30     0
 80     4.00     1
 81     3.57     1
 82     6.46     1
 83     1.50     0
 84     1.89     0
 85     3.39     0
 86     1.24     0
 87     1.34     0
 88     2.61     1
 89     2.18     0
 90     1.65     0
 91     4.01     1
 92     5.83     1
 93     3.43     0
 94     0.20     0
 95     4.72     1
 96     2.93     0
 97     2.24     0
 98     4.96     0
 99     5.70     0
100     4.65     0
101     1.12     0
102     2.86     1
103     1.72     0
104     3.98     1
105     1.39     0
106     4.01     1
107     4.46     1
108     4.62     1
109     0.35     0
110     1.10     0
111     7.82     0
112     4.12     0
113     0.01     0
114     2.80     0
115     5.80     1
116     3.26     0
117     3.52     0
118     0.34     1
119     3.27     1
120     4.13     0
121     2.56     0
122     8.14     1
123     2.33     1
124     6.27     1
125     4.78     0
126     0.35     0
127     1.16     0
128     4.46     1
129     1.96     0
130     5.08     1
131     4.54     1
132     2.51     0
133     6.01     0
134     5.39     1
135     6.38     1
136     5.49     1
137     4.98     0
138     2.00     1
139     1.02     0
140     3.89     1
141     4.94     1
142     5.18     1
143     5.99     1
144     0.45     0
145     4.41     1
146     5.41     1
147     1.31     1
148     2.58     1
149     3.31     1
150     0.26     0
151     1.81     0
152     1.27     0
153     5.86     1
154     0.30     0
155     1.27     1
156     6.36     0
157     0.38     0
158     3.19     0
159     4.96     1
160     3.90     0
161     2.88     1
162     5.53     1
163     3.65     1
164     2.52     0
165     4.53     1
166     2.47     0
167     0.84     0
168     3.95     1
169     1.68     0
170     6.04     0
171     1.15     0
172     2.54     0
173     0.14     0
174     1.59     0
175     5.93     1
176     1.72     1
177     3.98     1
178     3.01     1
179     2.96     1
180     1.49     0
181     2.56     1
182     3.90     0
183     6.64     1
184     5.88     1
185     6.49     1
186     2.89     0
187     1.07     0
188     3.29     1
189     0.11     0
190     3.38     0
191     2.11     0
192     1.24     0
193     1.38     1
194     5.08     0
195     1.06     0
196     4.21     1
197     2.48     1
198     2.13     0
199     4.57     1
200     0.22     0
201     6.33     1
202     5.84     1
203     2.80     1
204     4.06     1
205     0.18     0
206     1.63     0
207     4.56     1
208     3.02     1
209     2.71     1
210     4.20     1
211     1.61     0
212     1.42     0
213     4.25     1
214     1.59     0
215     1.24     0
216     1.63     0
217     0.65     0
218     2.42     0
219     5.07     1
220     3.52     0
221     4.68     1
222     3.41     1
223     4.68     1
224     3.54     1
225     1.69     1
226     5.72     1
227     0.30     0
228     4.70     0
229     4.05     1
230     3.17     1
231     2.67     0
232     4.06     1
233     5.75     1
234     3.95     1
235     5.36     1
236     1.36     1
237     3.88     0
238     0.97     0
239     4.91     1
240     0.89     0
241     4.76     1
242     1.58     1
243     0.73     0
244     3.89     1
245     4.21     0
246     2.73     1
247     2.41     1
248     3.12     0
249     1.68     0
250     0.72     0
251     3.20     0
252     0.43     0
253     6.19     1
254     2.82     1
255     1.68     1
256     2.66     0
257     4.27     1
258     0.96     0
259     4.82     0
260     5.91     0
261     4.87     1
262     3.93     1
263     3.85     1
264     3.02     0
265     3.04     0
266     0.53     0
267     0.01     0
268     4.21     1
269     4.41     0
270     1.35     1
271     3.70     1
272     6.33     1
273     2.38     1
274     5.23     1
275     6.04     1
