          Time      Uncensored
   1   0.7227589250     1
   2   0.1200477397     0
   3   0.5317119725     1
   4   0.0599734590     1
   5   0.3500814389     1
   6   0.6593636236     1
   7   0.0640676353     1
   8   0.5763440652     1
   9   3.0535963513     0
  10   0.4191311780     1
  11   0.5766003168     1
  12   0.0064627617     1
  13   0.0469768078     1
  14   0.4597601690     1
  15   0.1493598368     1
  16   2.5433003447     1
  17   1.3039917623     1
  18   0.0208929810     1
  19   0.6358100570     1
  20   0.0387872776     1
  21   0.1040941058     1
  22   1.0291851088     0
  23   0.7107705835     1
  24   0.2217630914     1
  25   0.1091582716     1
  26   0.1337704538     1
  27   0.1072283228     1
  28   0.0172200899     1
  29   0.1641880820     1
  30   0.1113233373     1
  31   0.1286774186     1
  32   0.2697569436     1
  33   0.1511706424     1
  34   0.0029611585     1
  35   2.3620454157     0
  36   0.0300264072     1
  37   0.1286056037     1
  38   2.2031521332     0
  39   1.2073530070     0
  40   0.5252443842     1
  41   0.2127695065     0
  42   0.0059221182     0
  43   0.5762880461     1
  44   0.0760591415     1
  45   0.2323731498     1
  46   0.0114853579     1
  47   0.1642211532     1
  48   0.2057018927     1
  49   0.1830689785     1
  50   0.3227957176     1
  51   0.0998347530     1
  52   0.4594777608     0
  53   0.0196915147     1
  54   0.1756532203     1
  55   0.7489452138     1
  56   0.1095508117     1
  57   0.1416534204     1
  58   2.6863088449     0
  59   0.1221745955     0
  60   0.0196286206     1
  61   0.0706873033     1
  62   0.0091886304     1
  63   0.0047599065     1
  64   2.6831320200     1
  65   0.1100657786     1
  66   0.2578057050     1
  67   0.8290015591     1
  68   0.1903948966     1
  69   0.5862913128     1
  70   0.2114813112     1
  71   0.2931305666     1
  72   0.4962257026     1
  73   0.1576798217     1
  74   0.0027705958     1
  75   0.0816280598     1
  76   0.3375448364     1
  77   0.0213479761     1
  78   0.0941375552     1
  79   0.0602332060     1
  80   0.1878492674     0
  81   0.3578540297     1
  82   0.0311092292     1
  83   0.2273607202     1
  84   0.4051646144     1
  85   0.2291620362     1
  86   0.2623565036     1
  87   0.0155351845     1
  88   0.7511285696     1
  89   0.0451412635     1
  90   0.7216093370     1
  91   0.2594036289     1
  92   0.0591306828     1
  93   0.0950798650     1
  94   0.0965057890     1
  95   0.1522762692     1
  96   0.4691246485     1
  97   0.0373320200     1
  98   0.0700628415     1
  99   0.0572045712     1
 100   0.0914958033     1
 101   0.5058459677     0
 102   0.6074536962     1
 103   0.1191606077     1
 104   0.2641515120     1
 105   0.5754384491     1
 106   0.0665344000     0
 107   0.1866259629     1
 108   0.1640670794     1
 109   0.1248851120     0
 110   0.4793381275     1
 111   0.0027679270     1
 112   0.1458231947     1
 113   0.2928883309     1
 114   0.2622809467     1
 115   0.0605338508     1
 116   0.1337055189     1
 117   0.2939543313     1
 118   0.7897869935     0
 119   0.4430947648     1
 120   0.0799950547     1
 121   0.5912613954     1
 122   0.0033497926     1
 123   1.0054153702     1
 124   0.0383518008     1
 125   0.0054262647     1
 126   0.0335064603     1
 127   0.1570845386     0
 128   0.1864589052     1
 129   0.1614814132     1
 130   0.1143528284     1
 131   0.1750456365     1
 132   0.1601864954     1
 133   0.0025199017     1
 134   0.0876319965     1
 135   0.0341151283     1
 136   0.0802182428     1
 137   0.0490992901     1
 138   0.8846287727     0
 139   0.2751842651     1
 140   0.2836463480     1
 141   0.1282131784     1
 142   0.1053078341     1
 143   0.0505228346     1
 144   0.1018924764     1
 145   0.1924884269     1
 146   0.0865468438     1
 147   0.7511980999     0
 148   0.7724855754     1
 149   0.4305042972     1
 150   0.1315964370     1
 151   0.0065541947     0
 152   0.2291340408     1
 153   0.0573916914     1
 154   0.1915137888     1
 155   3.3268364500     0
 156   0.0132914800     1
 157   0.1465910629     1
 158   0.0207358939     1
 159   0.1259616735     1
 160   0.2333118235     1
 161   0.5984595339     1
 162   0.0779510100     1
 163   0.3354773868     1
 164   0.2038644949     1
 165   0.0466430085     0
 166   0.0785920480     0
 167   0.0195092714     1
 168   0.2708197301     1
 169   0.1049622694     1
 170   0.0307415573     1
 171   0.1315470773     1
 172   0.0536382912     1
 173   0.3073782978     1
 174   0.0009565418     1
 175   0.0536245117     1
 176   0.2687060889     0
 177   0.2651982213     1
 178   0.5410699428     1
 179   0.5611724358     1
 180   0.1756149286     1
 181   0.7894824562     1
 182   0.2045093339     1
 183   0.0256914622     1
 184   0.0565427469     1
 185   0.0303552188     1
