       Time     Uncensored
  1   0.179          0
  2   1.024          1
  3   0.189          1
  4   0.345          1
  5   0.977          1
  6   0.241          1
  7   0.318          1
  8   0.923          0
  9   0.864          1
 10   0.265          1
 11   0.409          0
 12   0.711          0
 13   0.338          1
 14   0.758          1
 15   0.499          1
 16   0.117          1
 17   0.634          1
 18   0.514          1
 19   1.068          1
 20   0.466          1
 21   0.109          1
 22   0.351          1
 23   1.172          1
 24   0.239          1
 25   0.033          0
 26   0.062          1
 27   1.601          1
 28   0.515          1
 29   0.165          1
 30   0.478          1
 31   0.026          1
 32   0.118          1
 33   0.026          1
 34   0.794          0
 35   1.836          1
 36   0.040          0
 37   0.173          1
 38   0.032          1
 39   0.064          0
 40   0.284          1
 41   0.350          1
 42   0.179          1
 43   1.188          1
 44   0.450          1
 45   1.027          1
 46   0.100          1
 47   0.030          0
 48   0.855          0
 49   0.058          1
 50   0.101          1
